City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Temp_C,Wind KmH
165,bakchar,57.0186,82.0711,286.03,34,61,3.34,RU,1684988594,12.879999999999995,12.024
166,cabo san lucas,22.8909,-109.9124,300.76,61,100,6.66,MX,1684988088,27.610000000000014,23.976000000000003
167,santanyi,39.3546,3.1291,289.61,85,8,3.04,ES,1684988595,16.460000000000036,10.944
168,monrovia,6.3005,-10.7969,299.02,86,100,3.17,LR,1684988595,25.870000000000005,11.412
169,vorgashor,67.5833,63.95,285.79,67,100,6.15,RU,1684988278,12.640000000000043,22.14
170,riacho de santana,-13.6092,-42.9389,293.81,66,1,3.24,BR,1684988596,20.660000000000025,11.664000000000001
171,kidal,18.4411,1.4078,303.26,14,2,10.48,ML,1684988339,30.110000000000014,37.728
172,zhalantun,48.0,122.7167,297.96,34,100,7.05,CN,1684988596,24.810000000000002,25.38
173,saldanha,-33.0117,17.9442,287.28,91,100,4.58,ZA,1684988230,14.129999999999995,16.488
174,mtwara,-10.2667,40.1833,294.94,91,2,3.43,TZ,1684988597,21.79000000000002,12.348
175,constantia,44.1833,28.65,290.76,77,61,1.59,RO,1684988334,17.610000000000014,5.724
176,codrington,-38.2667,141.9667,286.4,70,86,9.41,AU,1684988197,13.25,33.876000000000005
177,nova vicosa,-17.8919,-39.3719,296.93,77,9,5.17,BR,1684988229,23.78000000000003,18.612000000000002
178,tukrah,32.5341,20.5791,293.77,60,37,5.35,LY,1684988598,20.620000000000005,19.259999999999998
179,taungdwingyi,20.0167,95.55,307.83,43,40,6.0,MM,1684988598,34.68000000000001,21.6
180,saint-mandrier-sur-mer,43.078,5.929,291.17,80,0,2.57,FR,1684988599,18.02000000000004,9.251999999999999
181,guajara mirim,-10.7828,-65.3394,295.83,99,100,0.55,BR,1684988599,22.680000000000007,1.9800000000000002
182,ghanzi,-21.5667,21.7833,289.07,32,16,4.56,BW,1684988599,15.920000000000016,16.416
183,okha,53.5739,142.9478,278.61,76,88,7.28,RU,1684988185,5.460000000000036,26.208000000000002
184,newman,37.3138,-121.0208,293.16,60,1,3.13,US,1684988231,20.010000000000048,11.268
185,bagnes,46.0833,7.2167,284.18,88,75,0.51,CH,1684988600,11.03000000000003,1.836
